1.2527,2.0615
1.242,2.0401
1.2384,2.0222
1.2312,2.0043
1.2205,1.9828
1.2133,1.9614
1.2062,1.9363
1.199,1.9149
1.1883,1.897
1.1812,1.8791
1.1776,1.8612
1.1668,1.8398
1.1597,1.8219
1.1525,1.8004
1.1418,1.779
1.1239,1.7647
1.106,1.7575
1.0989,1.7396
1.1275,1.7396
1.149,1.7396
1.1668,1.7396
1.1883,1.7432
1.2098,1.7432
1.2098,1.7611
1.1847,1.7682
1.1812,1.7897
1.1919,1.8112
1.199,1.829
1.2062,1.8505
1.2169,1.872
1.2276,1.897
1.2348,1.922
1.2455,1.9435
1.2563,1.9685
1.267,1.9435
1.2777,1.9256
1.2849,1.9113
1.2956,1.9006
1.3028,1.8863
1.3135,1.8755
1.3206,1.8541
1.3314,1.8326
1.3421,1.8112
1.3528,1.7897
1.3671,1.7682
1.3492,1.7647
1.3314,1.7575
1.3278,1.7432
1.3636,1.7432
1.3886,1.7432
1.4065,1.7432
1.4315,1.7432
1.453,1.7468
1.4351,1.7647
1.4136,1.7754
1.3957,1.7933
1.3886,1.8112
1.3779,1.8255
1.3671,1.8469
1.36,1.8684
1.3492,1.8898
1.3349,1.9113
1.3242,1.9292
1.3135,1.9506
1.3028,1.9685
1.2956,1.99
1.2849,2.0114
1.2741,2.0329
1.2634,2.0508
1.2527,2.0615
