-1.1049,1.8262,0
-1.2733,1.6973,0
-1.4216,1.5572,0
-1.5582,1.4036,0
-1.6803,1.2341,0
-1.7815,1.0556,0
-1.8622,0.86619,0
-1.9256,0.67379,0
-1.9744,0.4776,0
-2.0011,0.28058,0
-2.0063,0.085211,0
-1.9937,-0.11566,0
-1.9626,-0.30906,0
-1.9097,-0.49884,0
-1.84,-0.68444,0
-1.761,-0.86683,0
-1.671,-1.04,0
-1.553,-1.1936,0
-1.4381,-1.3033,0
-1.3155,-1.4089,0
-1.185,-1.5066,0
-1.0516,-1.5903,0
-0.90973,-1.6609,0
-0.7692,-1.7462,0
-0.60045,-1.8329,0
-0.44417,-1.8968,0
-0.28992,-1.9376,0
-0.12729,-1.9654,0
0.036225,-1.9826,0
0.19919,-1.9846,0
0.36178,-1.9764,0
0.52762,-1.9561,0
0.69036,-1.9177,0
0.85021,-1.8692,0
1.0067,-1.7589,0
1.1509,-1.6427,0
1.2863,-1.5182,0
1.4064,-1.3867,0
1.5153,-1.2419,0
1.608,-1.0929,0
1.6839,-0.92742,0
1.7402,-0.75892,0
1.7801,-0.58798,0
1.8034,-0.4161,0
1.8082,-0.24726,0
1.8305,-0.067383,0
1.8319,0.11592,0
1.8025,0.28987,0
1.7557,0.42266,0
1.703,0.55899,0
1.6414,0.69571,0
1.5683,0.81967,0
1.4899,0.93978,0
1.4145,1.0905,0
1.3168,1.2366,0
1.2113,1.3731,0
1.095,1.4911,0
0.96283,1.6005,0
0.82528,1.7022,0
0.67909,1.7892,0
0.52162,1.8661,0
0.35353,1.9313,0
0.17848,1.9762,0
-0.00023587,2.0081,0
-0.1846,2.0206,0
-0.36723,2.0179,0
-0.55395,1.9996,0
-0.74042,1.964,0
-0.92499,1.9073,0
-1.1049,1.8262,0
